0xf23	9	0x283f	4
0x2086	81	0x3dc3	24
0x20f9	62	0x6582	18
0x217a	38	0x250b	4
0x2397	4	0x932	1
0x2397	4	0x153b	1
0x2397	4	0x1550	1
0x2397	4	0x1ed8	1
0x2ea0	5	0x32d2	2
0x33da	36	0x622f	8
0x344e	9	0x3ef9	3
0x3dc3	24	0x3e84	6
0x3dc3	24	0x67db	6
0x45ad	6	0x47d2	1
0x45ad	6	0x4842	1
0x45ad	6	0x4887	1
0x45ad	6	0x48f9	1
0x45ad	6	0x49eb	1
0x45ad	6	0x4a8f	1
0x45f6	3	0x498f	1
0x45f6	3	0x49ca	1
0x45f6	3	0x4a6e	1
0x466b	3	0x4a21	1
0x466b	3	0x4d19	1
0x466b	3	0x4e04	1
0x4c2c	4	0x25f	1
0x4c2c	4	0x41b	1
0x4c2c	4	0x43b	1
0x4c2c	4	0x53b	1
0x4e88	10	0x19ff	2
0x4e88	10	0x1a80	2
0x50ac	10	0xadb	4
0x50ac	10	0xb60	4
0x517e	29	0xc5f	13
0x5387	6	0x5985	2
0x5476	47	0x4c43	4
0x5476	47	0x4c4e	4
0x5476	47	0x4c5e	4
