0x4	0x2	0
0x4	0x0	1
0x8	0x7	0
0x8	0x5	1
0xc	0x9	0
0xc	0x8	1
0xf	0xd	0
0x12	0x10	0
0x12	0xf	1
0x19	0x14	0
0x19	0x12	1
0x1d	0x1a	0
0x1d	0x19	1
0x24	0x1f	0
0x24	0x12	1
0x28	0x25	0
0x28	0x24	1
0x2f	0x2a	0
0x2f	0x12	1
0x33	0x30	0
0x33	0x2f	1
0x3a	0x35	0
0x3a	0x12	1
0x45	0x40	0
0x45	0x12	1
0x50	0x4b	0
0x50	0x12	1
0x5b	0x56	0
0x5b	0x12	1
0x63	0x60	0
0x6b	0x66	0
0x6b	0x12	1
0x76	0x71	0
0x76	0x12	1
0x81	0x7c	0
0x81	0x12	1
0x8c	0x87	0
0x8c	0x12	1
0x94	0x91	0
0x9c	0x97	0
0x9c	0x12	1
0xa0	0x9d	0
0xa0	0x9c	1
0xa7	0xa2	0
0xa7	0x12	1
0xb2	0xad	0
0xb2	0x12	1
0xbd	0xb8	0
0xbd	0x12	1
0xc8	0xc3	0
0xc8	0x12	1
0xd0	0xcd	0
0xd8	0xd3	0
0xd8	0x12	1
0xe3	0xde	0
0xe3	0x12	1
0xee	0xe9	0
0xee	0x12	1
0xf6	0xf3	0
0xfe	0xf9	0
0xfe	0x12	1
0x102	0xff	0
0x102	0xfe	1
0x109	0x104	0
0x109	0x12	1
0x10d	0x10a	0
0x10d	0x109	1
0x114	0x10f	0
0x114	0x12	1
0x11f	0x11a	0
0x11f	0x12	1
0x12a	0x125	0
0x12a	0x12	1
0x135	0x130	0
0x135	0x12	1
0x13d	0x13a	0
0x145	0x140	0
0x145	0x12	1
0x150	0x14b	0
0x150	0x12	1
0x15b	0x156	0
0x15b	0x12	1
0x166	0x161	0
0x166	0x12	1
0x16e	0x16b	0
0x176	0x171	0
0x176	0x12	1
0x17a	0x177	0
0x17a	0x176	1
0x181	0x17c	0
0x181	0x12	1
0x18c	0x187	0
0x18c	0x12	1
0x197	0x192	0
0x197	0x12	1
