0x48a7	0x5476	0x6a7f
0x48f9	0x45ad	0x4905
0x4905	0x5476	0x4920
0x4920	0x5476	0x4930
0x4930	0x5476	0x4940
0x4940	0x5476	0x4950
0x498f	0x45f6	0x6aaf
0x49ca	0x45f6	0x49d6
0x49eb	0x45ad	0x49f7
0x49f7	0x5476	0x4a0c
0x4a21	0x466b	0x4a2e
0x4a6e	0x45f6	0x4a7a
0x4a8f	0x45ad	0x4a9c
0x4a9c	0x5476	0x6ad6
0x4ac2	0x5476	0x4ad4
0x4af3	0x5476	0x6b06
0x4b2d	0x5476	0x4b38
0x4b38	0x5476	0x4b48
0x4b48	0x5476	0x4b58
0x4b58	0x5476	0x4b68
0x4b8d	0x5476	0x4b98
0x4b98	0x5476	0x6b36
0x4bbf	0x5476	0x4bca
0x4bca	0x5476	0x4bda
0x4c0c	0x5476	0x4c17
0x4c43	0x5476	0x4c4e
0x4c4e	0x5476	0x4c5e
0x4c5e	0x5476	0x4c6e
0x4c9b	0x5476	0x4ca6
0x4ca6	0x5476	0x4cb6
0x4cb6	0x4534	0x4cc5
0x4cc5	0x5476	0x4cd5
0x4d19	0x466b	0x4d25
0x4d90	0x46ab	0x6b66
0x4dca	0x46ab	0x4dd6
0x4dd6	0x5476	0x4def
0x4e04	0x466b	0x6b8d
0x4e3c	0x46ab	0x4e48
0x4e48	0x5476	0x4e60
0x4eb7	0x5476	0x4ec9
0x4ec9	0x5476	0x4ed9
0x4ed9	0x4534	0x4ee8
0x4ee8	0x5476	0x4ef8
0x50bc	0x544a	0x50ce0x50bc
0x50d8	0x4f6b	0x6bbd
0x5108	0x4f6b	0x511c
0x517e	0x544a	0x519d
0x5793	0xa38	0x5772
0x57d8	0x5387	0x2f30x2c6
0x5867	0x5387	0x2f30x35c
0x58f6	0x5387	0x2f30x3cf
0x5985	0x5387	0x2f30x44f
0x5ab9	0x5387	0x2f30x56f
0x5b27	0x20f9	0x610
0x5be0	0x20f9	0xa2b
0x5c05	0x2086	0x5be0
0x5d14	0x20f9	0xd950xd6a
0x5d39	0x2086	0x5d14
0x5f13	0x20f9	0x14ec
0x5f38	0x2086	0x5f13
0x6149	0x20f9	0x1f4f
0x616e	0x2086	0x6149
0x622f	0x33da	0x254b
0x64b4	0x3ddf	0x3333
0x6507	0x3ddf	0x3379
0x6722	0x20f9	0x3d1e
0x6747	0x20f9	0x3df4
0x676c	0x2086	0x6747
0x6791	0x2086	0x3e84
0x67b6	0x2086	0x67db
0x67db	0x3dc3	0x3e97
0x67ff	0x33da	0x3eaa
0x6824	0x2086	0x3eca
0x6871	0x3dc3	0x3f2a
0x6895	0x20f9	0x3f3f
0x68ba	0x33da	0x68df
0x68df	0x3dc3	0x3f6f
0xa450xa38	0x51cf	0x5c500xa38
