0x5c2
0xa38
0xf23
0x113e
0x121d
0x1d9b
0x1ffa
0x2086
0x220b
0x2264
0x2617
0x26df
0x2848
0x2f2d
0x3275
0x3466
0x34b9
0x37be
0x3a36
0x3b39
0x3f7c
0x41ca
0x43fb
0x544a
