0x7ec	[0x7eb, 0x7f9]	32
0x8d1	[0x857, 0x8e4]	32
0x14f1	[0x14ef, 0x152d]	1
0x1aca	[0x1ac8, 0x1af2]	1
0x1cc9	[0x1cc7, 0x1cf8]	1
0x22d9	[0x22d7, 0x22ec]	32
0x2304	[0x2302, 0x2317]	32
0x294e	[0x2949, 0x2986]	32
0x294e	[0x2941, 0x2984]	32
0x294e	[0x2945, 0x297e]	2147483647
0x29fb	[0x29f5, 0x2a33]	32
0x29fb	[0x29f2, 0x2a31]	32
0x29fb	[0x29ed, 0x2a2b]	2147483647
0x2b18	[0x2b13, 0x2b50]	32
0x2b18	[0x2b0b, 0x2b4e]	32
0x2b18	[0x2b0f, 0x2b48]	2147483647
0x2bc5	[0x2bbf, 0x2bfd]	32
0x2bc5	[0x2bbc, 0x2bfb]	32
0x2bc5	[0x2bb7, 0x2bf5]	2147483647
0x2c87	[0x2c82, 0x2cbf]	32
0x2c87	[0x2c7a, 0x2cbd]	32
0x2c87	[0x2c7e, 0x2cb7]	2147483647
0x2d34	[0x2d2e, 0x2d6c]	32
0x2d34	[0x2d2b, 0x2d6a]	32
0x2d34	[0x2d26, 0x2d64]	2147483647
0x2e6f	[0x2e6d, 0x2e9b]	1
0x3fa7	[0x3fa2, 0x3fdf]	32
0x3fa7	[0x3f9a, 0x3fdd]	32
0x3fa7	[0x3f9e, 0x3fd7]	2147483647
0x433c	[0x4337, 0x4374]	32
0x433c	[0x432f, 0x4372]	32
0x433c	[0x4333, 0x436c]	2147483647
0x4579	[0x4535, 0x459d]	1
0x4579	[0x4547, 0x4594]	32
0x4635	[0x45f7, 0x4659]	1
0x4635	[0x4633, 0x4655]	32
0x4635	[0x462f, 0x4651]	32
0x4f82	[0x4f75, 0x5052]	1
0x4f82	[0x4f73, 0x5043]	32
0x544d	[0x544b, 0x5460]	32
0x35c60x21f1	[0x21f10x356c, 0x21f10x35fe]	32
0x35c60x21f1	[0x21f10x35b2, 0x21f10x35fc]	32
0x35c60x21f1	[0x21f10x35b4, 0x21f10x35f6]	2147483647
0x35c60x2264	[0x22640x356c, 0x22640x35fe]	32
0x35c60x2264	[0x22640x35b2, 0x22640x35fc]	32
0x35c60x2264	[0x22640x35b4, 0x22640x35f6]	2147483647
0x35c60x34b9	[0x34b90x356c, 0x34b90x35fe]	32
0x35c60x34b9	[0x34b90x35b2, 0x34b90x35fc]	32
0x35c60x34b9	[0x34b90x35b4, 0x34b90x35f6]	2147483647
0x392b0x37d4	[0x37d40x3929, 0x37d40x3a29]	1
0x392b0x37fa	[0x37fa0x3929, 0x37fa0x3a29]	1
0x40df0x3f7c	[0x40dd, 0x3f7c0x40f2]	32
0x40df0x442e	[0x44a9, 0x442e0x40f2]	32
