0x49eb	0x45ad
0x4a8f	0x45ad
0x498f	0x45f6
0x49ca	0x45f6
0x4a6e	0x45f6
0x4a21	0x466b
0x4d19	0x466b
0x4e04	0x466b
0x463e	0x46ab
0x4d90	0x46ab
0x4dca	0x46ab
0x4e3c	0x46ab
0x2b3	0x4787
0x368	0x47ef
0x45b	0x47ef
0x4db	0x481a
0x47b	0x4968
0x4fb	0x499b
0x3db	0x4ab0
0x308	0x4adf
0x58f	0x4adf
0x49b	0x4b79
0x55b	0x4b79
0x25f	0x4c2c
0x41b	0x4c2c
0x43b	0x4c2c
0x53b	0x4c2c
0x51b	0x4c86
0x5ae	0x4ce0
0x29f	0x4d31
0x348	0x4d69
0x328	0x4d9c
0xef6	0x4e88
0x171b	0x4e88
0x17a2	0x4e88
0x1829	0x4e88
0x18b0	0x4e88
0x19ff	0x4e88
0x1a80	0x4e88
0x1cae	0x4e88
0x23f	0x4ea0
0x166e	0x4f4a
0x50d8	0x4f6b
0x5108	0x4f6b
0xe10	0x50ac
0x1bfb	0x50ac
0xadb0xa38	0x50ac
0xadb0x2e6c	0x50ac
0xb600xa38	0x50ac
0xb600x2e6c	0x50ac
0xfa00xf23	0x50bc
0xfa00x1ac7	0x50bc
0x101a0xf23	0x50bc
0x101a0x1ac7	0x50bc
0xc9f	0x50d8
0x63c	0x514d
0x694	0x514d
0x1357	0x517e
0xc2c0xa38	0x517e
0xc2c0x2e6c	0x517e
0xc5f0xa38	0x517e
0xc5f0xf23	0x517e
0xc5f0x1ac7	0x517e
0xc5f0x2e6c	0x517e
0xec30xe10	0x517e
0xec30x1bc1	0x517e
0x110b0xf23	0x517e
0x110b0x1ac7	0x517e
0xa450xa38	0x51cf
0xa450x2e6c	0x51cf
0xf300xf23	0x51cf
0xf300x1ac7	0x51cf
0x147b	0x5319
0x1bca	0x5319
0x57d8	0x5387
0x5867	0x5387
0x58f6	0x5387
0x5985	0x5387
0x5ab9	0x5387
0xab30xa38	0x5390
0xab30x2e6c	0x5390
0xb360xa38	0x5390
0xb360x2e6c	0x5390
0x2e86	0x53f3
0x461c	0x5426
0x4720	0x5426
0x50bc	0x544a
0x517e	0x544a
0x4583	0x5476
0x479e	0x5476
0x4801	0x5476
0x4893	0x5476
0x48a7	0x5476
0x4905	0x5476
0x4920	0x5476
0x4930	0x5476
0x4940	0x5476
0x49f7	0x5476
0x4a9c	0x5476
0x4ac2	0x5476
0x4af3	0x5476
0x4b2d	0x5476
0x4b38	0x5476
0x4b48	0x5476
0x4b58	0x5476
0x4b8d	0x5476
0x4b98	0x5476
0x4bbf	0x5476
0x4bca	0x5476
0x4c0c	0x5476
0x4c43	0x5476
0x4c4e	0x5476
0x4c5e	0x5476
0x4c9b	0x5476
0x4ca6	0x5476
0x4cc5	0x5476
0x4dd6	0x5476
0x4e48	0x5476
0x4eb7	0x5476
0x4ec9	0x5476
0x4ee8	0x5476
0x6c4d	0x6c4f
