0x7cc	0xf23	0x5b96	0x5b96
0x7ec	0x44ae	0x7f4	0x7f4
0x830	0x1ac7	0x844	0x844
0x923	0x21f1	0x5bba	0x5bba
0x932	0x2397	0x947	0x947
0x9e5	0x2617	0xa2b	0xa2b
0x9e5	0x2617	0x5be0	0xa2b
0x9e5	0x2617	0x5c05	0xa2b
0xa2b	0x26df	0x5c2a	0x5c2a
0xa45	0x51cf	0x5c50	0x5c50
0xab3	0x5390	0xadb	0xadb
0xadb	0x50ac	0xae9	0xae9
0xb36	0x5390	0xb60	0xb60
0xb60	0x50ac	0xb6e	0xb6e
0xbbe	0x2848	0xbfe	0xbfe
0xc2c	0x517e	0x5c9e	0x5c9e
0xc5f	0x517e	0xc8e	0xc8e
0xc9f	0x50d8	0xcf1	0xd13
0xc9f	0x50d8	0xd0c	0xd13
0xc9f	0x50d8	0xd13	0xd13
0xd2f	0x523d	0x5cc6	0x5cc6
0xd60	0x2e6c	0x5cee	0x5cee
0xd6a	0x217a	0xd95	0xd95
0xd6a	0x217a	0x5d14	0xd95
0xd6a	0x217a	0x5d39	0xd95
0xd9e	0x2ea0	0xddf	0xddf
0xe10	0x50ac	0xe3a	0xe3a
0xe85	0x2848	0xec3	0xec3
0xec3	0x517e	0x5d5e	0x5d5e
0xef6	0x4e88	0xf0c	0xf0c
0xf0c	0x26df	0x5d86	0x5d86
0xf30	0x51cf	0x5daf	0x5daf
0xfa0	0x50bc	0xfcd	0xfcd
0x101a	0x50bc	0x104a	0x104a
0x109a	0x2848	0x10da	0x10da
0x110b	0x517e	0x5dfd	0x5dfd
0x113e	0x2617	0x1161	0x1161
0x117d	0x2f2d	0x118c	0x118c
0x1223	0x52e2	0x5e4c	0x5e4c
0x1254	0x5108	0x1298	0x1298
0x12f6	0x2848	0x1357	0x1357
0x1357	0x517e	0x1364	0x1364
0x1364	0x3275	0x138d	0x138d
0x147b	0x5319	0x5eeb	0x5eeb
0x14ac	0x2617	0x14ec	0x14ec
0x14ac	0x2617	0x5f13	0x14ec
0x14ac	0x2617	0x5f38	0x14ec
0x14fb	0x1509	0x152a	0x152a
0x153b	0x2397	0x118c	0x118c
0x1550	0x2397	0x118c	0x118c
0x1563	0x44cf	0x156d	0x156d
0x15c6	0x4f27	0x15ea	0x15ea
0x166e	0x4f4a	0x1692	0x1692
0x171b	0x4e88	0x173f	0x173f
0x17a2	0x4e88	0x17c6	0x17c6
0x1829	0x4e88	0x184d	0x184d
0x18b0	0x4e88	0x18d4	0x18d4
0x18f3	0x32f3	0x5f85	0x5f85
0x191c	0x3345	0x5fab	0x5fab
0x1925	0x217a	0x1942	0x1942
0x1942	0x217a	0x1961	0x1961
0x196b	0x338b	0x1974	0x1974
0x197b	0x217a	0x198b	0x1998
0x197b	0x217a	0x1991	0x1998
0x197b	0x217a	0x1998	0x1998
0x199e	0x19eb	0x1ab9	0x5fd1
0x199e	0x19eb	0x5fd1	0x5fd1
0x19ff	0x4e88	0x1a23	0x1a23
0x1a23	0x1a6c	0x5ff9	0x5ff9
0x1a80	0x4e88	0x1aa4	0x1aa4
0x1ad4	0x1ae2	0x1aef	0x1aef
0x1afb	0x3275	0x6041	0x6041
0x1b21	0x2617	0x1b43	0x1b43
0x1b43	0x1bb7	0x1b4f	0x1b4f
0x1b4f	0x2617	0x1b75	0x1b7b
0x1b4f	0x2617	0x1b7b	0x1b7b
0x1b86	0x52ab	0x608d	0x608d
0x1bb7	0x2e6c	0x60b5	0x60b5
0x1bca	0x5319	0x60d8	0x60d8
0x1bfb	0x50ac	0x1c25	0x1c25
0x1c70	0x2848	0xec3	0xec3
0x1cae	0x4e88	0x1cc4	0x1cc4
0x1cd3	0x1ce1	0x1cf5	0x1cf5
0x1ecd	0x21f1	0x6100	0x6100
0x1ed8	0x2397	0x947	0x947
0x1eeb	0x34b9	0x6125	0x6125
0x1f0c	0x2617	0x1f4f	0x1f55
0x1f0c	0x2617	0x1f55	0x1f55
0x1f0c	0x2617	0x6149	0x1f55
0x1f0c	0x2617	0x616e	0x1f55
0x203c	0x2ea0	0x205c	0x205c
0x2066	0x2ea0	0x61ba	0x61ba
0x21f1	0x4516	0x21fb	0x21fb
0x21fb	0x4516	0x2203	0x2203
0x222c	0x220b	0x223a	0x223a
0x223a	0x1d9b	0x224a	0x224a
0x2286	0x2264	0x229a	0x229a
0x250b	0x217a	0x2517	0x2517
0x2517	0x2086	0x252b	0x252b
0x252b	0x2086	0x2539	0x2539
0x2539	0x2086	0x254b	0x254b
0x2539	0x2086	0x622f	0x254b
