62,0x6100dd79fCAA88420750DceE3F735d168aBcB771,Ethereans,OS,18
63,0x16631e53C20Fd2670027C6D53EfE2642929b285C,pTokens SAFEMOON,pSAFEMOON,18
64,0x2791BfD60D232150Bff86b39B7146c0eaAA2BA81,BiFi,BiFi,18
65,0x68037790A0229e9Ce6EaA8A99ea92964106C4703,PAR Stablecoin,PAR,18
66,0xc834Fa996fA3BeC7aAD3693af486ae53D8aA8B50,Convergence,CONV,18
67,0xA0CF46eb152656C7090e769916eb44a138aaa406,Spheroid,SPH,18
68,0xc690F7C7FcfFA6a82b79faB7508c466FEfdfc8c5,Lympo tokens,LYM,18
69,0x6781a0F84c7E9e846DCb84A9a5bd49333067b104,ZAP TOKEN,ZAP,18
70,0x00AbA6fE5557De1a1d565658cBDdddf7C710a1eb,EASY V2,EZ,18
71,0x2C4e8f2D746113d0696cE89B35F0d8bF88E0AEcA,Simple Token,ST,18
72,0x96B00208911d72eA9f10c3303fF319427A7884C9,BLUE,BLUE,18
73,0x45804880De22913dAFE09f4980848ECE6EcbAf78,Paxos Gold,PAXG,18
74,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,LoopringCoin V2,LRC,18
75,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,SushiToken,SUSHI,18
76,0xfF20817765cB7f73d4bde2e66e067E58D11095C2,Amp,AMP,18
77,0x58b6A8A3302369DAEc383334672404Ee733aB239,Livepeer Token,LPT,18
78,0x37236CD05b34Cc79d3715AF2383E96dd7443dCF1,Small Love Potion,SLP,0
79,0x579CEa1889991f68aCc35Ff5c3dd0621fF29b0C9,Everipedia IQ,IQ,18
80,0xf99d58e463A2E07e5692127302C20A191861b4D6,Anyswap,ANY,18
81,0xBA11D00c5f74255f56a5E366F4F77f5A186d7f55,BandToken,BAND,18
82,0x0c7D5ae016f806603CB1782bEa29AC69471CAb9c,Bifrost,BFC,18
83,0x42bBFa2e77757C645eeaAd1655E0911a7553Efbc,Boba Token,BOBA,18
84,0xAf5191B0De278C7286d6C7CC6ab6BB8A73bA2Cd6,StargateToken,STG,18
85,0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,Fetch,FET,18
86,0xec67005c4E498Ec7f55E092bd1d35cbC47C91892,Melon Token,MLN,18
87,0x77FbA179C79De5B7653F68b5039Af940AdA60ce0,Ampleforth Governance,FORTH,18
88,0x80fB784B7eD66730e8b1DBd9820aFD29931aab03,EthLend Token,LEND,18
89,0xD8912C10681D8B21Fd3742244f44658dBA12264E,Pluton,PLU,18
90,0x3593D125a4f7849a1B059E64F4517A86Dd60c95d,MANTRA DAO,OM,18
91,0x0000000000095413afC295d19EDeb1Ad7B71c952,Tokenlon,LON,18
92,0xe2f2a5C287993345a840Db3B0845fbC70f5935a5,mStable USD,mUSD,18
93,0xb9EF770B6A5e12E45983C5D80545258aA38F3B78,0chain,ZCN,10
94,0xaDB2437e6F65682B85F814fBc12FeC0508A7B1D0,UniCrypt,UNCX,18
95,0xb753428af26E81097e7fD17f40c88aaA3E04902c,Spice,SFI,18
96,0xa3BeD4E1c75D00fa6f4E5E6922DB7261B5E9AcD2,Meta,MTA,18
97,0x2f4eb47A1b1F4488C71fc10e39a4aa56AF33Dd49,UNCL,UNCL,18
98,0x846C66cf71C43f80403B51fE3906B3599D63336f,PumaPay,PMA,18
99,0x66C0DDEd8433c9EA86C8cf91237B14e10b4d70B7,MarsToken,Mars,18
100,0x539F3615C1dBAfa0D008d87504667458acBd16Fa,FERA,FERA,18
101,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,Uniswap,UNI,18
102,0x476c5E26a75bd202a9683ffD34359C0CC15be0fF,Serum,SRM,6
103,0x16ECCfDbb4eE1A85A33f3A9B21175Cd7Ae753dB4,Route,ROUTE,18
104,0x198d14F2Ad9CE69E76ea330B374DE4957C3F850a,APENFT,NFT,6
105,0xAC51066d7bEC65Dc4589368da368b212745d63E8,ALICE,ALICE,6
106,0x037A54AaB062628C9Bbae1FDB1583c195585fe41,LCX,LCX,18
107,0x286BDA1413a2Df81731D4930ce2F862a35A609fE,WaBi,WaBi,18
108,0xA682Ee16b497afcEEDF47e4820Fc2af3845FD2D2,PIKA,PIKA,18
109,0xC0Eb85285d83217CD7c891702bcbC0FC401E2D9D,Hive Project Token,HVN,8
110,0x89020f0D5C5AF4f3407Eb5Fe185416c457B0e93e,Eden Coin,EDN,18
111,0xD8E3FB3b08eBA982F2754988d70D57eDc0055ae6,Zoracles,ZORA,9
112,0x7c9D8Fb3bDe3D9Ea6e89170618C2dC3d16695D36,WhiteRockCasino,WRC,18
113,0x992a780fDEda7a24c52526e027DfEf90CdDc685f,Statera Classic,STAC,18
